SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
CHS 355.6x12.5 #,0.3556,0.0125,,,
CHS 355.6x14.2 #,0.3556,0.0142,,,
CHS 355.6x16,0.3556,0.016,,,
CHS 406.4x6.3 #,0.4064,0.0063,,,
CHS 406.4x8 #,0.4064,0.008,,,
CHS 406.4x10,0.4064,0.01,,,
CHS 406.4x12.5 #,0.4064,0.0125,,,
CHS 406.4x14.2 #,0.4064,0.0142,,,
CHS 406.4x16,0.4064,0.016,,,
CHS 457x6.3 #,0.457,0.0063,,,
CHS 457x8 #,0.457,0.008,,,
CHS 457x10,0.457,0.01,,,
CHS 457x12.5 #,0.457,0.0125,,,
CHS 457x14.2 #,0.457,0.0142,,,
CHS 457x16,0.457,0.016,,,
CHS 508x6.3 #,0.508,0.0063,,,
CHS 508x8 #,0.508,0.008,,,
CHS 508x10 #,0.508,0.01,,,
CHS 508x12.5,0.508,0.0125,,,
CHS 508x14.2 #,0.508,0.0142,,,
CHS 508x16,0.508,0.016,,,
,,,,,
,,,,,
,,,,,
RectangularHollowProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,
RHS 50x30x3 #,0.05,0.03,0.003,0.003,
RHS 50x30x3.2,0.05,0.03,0.0032,0.0032,
RHS 50x30x3.6 #,0.05,0.03,0.0036,0.0036,
RHS 50x30x4,0.05,0.03,0.004,0.004,
RHS 50x30x5,0.05,0.03,0.005,0.005,
RHS 60x40x3 #,0.06,0.04,0.003,0.003,
RHS 60x40x3.2,0.06,0.04,0.0032,0.0032,
RHS 60x40x3.6 #,0.06,0.04,0.0036,0.0036,
RHS 60x40x4,0.06,0.04,0.004,0.004,
RHS 60x40x5,0.06,0.04,0.005,0.005,
RHS 60x40x6.3,0.06,0.04,0.0063,0.0063,
RHS 80x40x3 #,0.08,0.04,0.003,0.003,
RHS 80x40x3.2,0.08,0.04,0.0032,0.0032,
RHS 80x40x3.6 #,0.08,0.04,0.0036,0.0036,
RHS 80x40x4,0.08,0.04,0.004,0.004,
RHS 80x40x5,0.08,0.04,0.005,0.005,
RHS 80x40x6.3,0.08,0.04,0.0063,0.0063,
RHS 80x40x7.1 #,0.08,0.04,0.0071,0.0071,
RHS 80x40x8,0.08,0.04,0.008,0.008,
RHS 90x50x3 #,0.09,0.05,0.003,0.003,
RHS 90x50x3.2,0.09,0.05,0.0032,0.0032,
RHS 90x50x3.6 #,0.09,0.05,0.0036,0.0036,
RHS 90x50x4,0.09,0.05,0.004,0.004,
RHS 90x50x5,0.09,0.05,0.005,0.005,
RHS 90x50x6.3,0.09,0.05,0.0063,0.0063,
RHS 90x50x7.1 #,0.09,0.05,0.0071,0.0071,
RHS 90x50x8,0.09,0.05,0.008,0.008,
RHS 100x50x3 #,0.1,0.05,0.003,0.003,
RHS 100x50x3.2,0.1,0.05,0.0032,0.0032,
RHS 100x50x3.6 #,0.1,0.05,0.0036,0.0036,
RHS 100x50x4,0.1,0.05,0.004,0.004,
RHS 100x50x5,0.1,0.05,0.005,0.005,
RHS 100x50x6.3,0.1,0.05,0.0063,0.0063,
RHS 100x50x7.1 #,0.1,0.05,0.0071,0.0071,
RHS 100x50x8,0.1,0.05,0.008,0.008,
RHS 100x50x8.8 #,0.1,0.05,0.0088,0.0088,
RHS 100x50x10 #,0.1,0.05,0.01,0.01,
RHS 100x60x3 #,0.1,0.06,0.003,0.003,
RHS 100x60x3.2,0.1,0.06,0.0032,0.0032,
RHS 100x60x3.6 #,0.1,0.06,0.0036,0.0036,
RHS 100x60x4,0.1,0.06,0.004,0.004,
RHS 100x60x5,0.1,0.06,0.005,0.005,
RHS 100x60x6.3,0.1,0.06,0.0063,0.0063,
RHS 100x60x7.1 #,0.1,0.06,0.0071,0.0071,
RHS 100x60x8,0.1,0.06,0.008,0.008,
RHS 100x60x8.8 #,0.1,0.06,0.0088,0.0088,
RHS 100x60x10 #,0.1,0.06,0.01,0.01,
RHS 120x60x3 #,0.12,0.06,0.003,0.003,
RHS 120x60x3.2 #,0.12,0.06,0.0032,0.0032,
RHS 120x60x3.6 #,0.12,0.06,0.0036,0.0036,
RHS 120x60x4,0.12,0.06,0.004,0.004,
RHS 120x60x5,0.12,0.06,0.005,0.005,
RHS 120x60x6.3,0.12,0.06,0.0063,0.0063,
RHS 120x60x7.1 #,0.12,0.06,0.0071,0.0071,
RHS 120x60x8,0.12,0.06,0.008,0.008,
RHS 120x60x8.8 #,0.12,0.06,0.0088,0.0088,
RHS 120x60x10 #,0.12,0.06,0.01,0.01,
RHS 120x60x12.5 #,0.12,0.06,0.0125,0.0125,
RHS 120x80x3.6 #,0.12,0.08,0.0036,0.0036,
